County Number,County Name,ESC Region Served,ESC Region PEIMS,ESC Region Geographic,District Number,District Name,District Type,NCES District ID,District Street Address,District City,District Zip,District Enrollment as of Oct 2021,School Number,School Enrollment as of Oct 2021
'057,DALLAS COUNTY,'10,'10,'10,'057914,MESQUITE ISD,INDEPENDENT,'4830390,3819 TOWNE CROSSING BLVD,MESQUITE,75150,38378,'057914104,722
'057,DALLAS COUNTY,'10,'10,'10,'057914,MESQUITE ISD,INDEPENDENT,'4830390,3819 TOWNE CROSSING BLVD,MESQUITE,75150,38378,'057914105,521
'057,DALLAS COUNTY,'10,'10,'10,'057914,MESQUITE ISD,INDEPENDENT,'4830390,3819 TOWNE CROSSING BLVD,MESQUITE,75150,38378,'057914106,525
'057,DALLAS COUNTY,'10,'10,'10,'057914,MESQUITE ISD,INDEPENDENT,'4830390,3819 TOWNE CROSSING BLVD,MESQUITE,75150,38378,'057914107,263
'057,DALLAS COUNTY,'10,'10,'10,'057914,MESQUITE ISD,INDEPENDENT,'4830390,3819 TOWNE CROSSING BLVD,MESQUITE,75150,38378,'057914108,576
'057,DALLAS COUNTY,'10,'10,'10,'057914,MESQUITE ISD,INDEPENDENT,'4830390,3819 TOWNE CROSSING BLVD,MESQUITE,75150,38378,'057914109,308
'057,DALLAS COUNTY,'10,'10,'10,'057914,MESQUITE ISD,INDEPENDENT,'4830390,3819 TOWNE CROSSING BLVD,MESQUITE,75150,38378,'057914110,686
'057,DALLAS COUNTY,'10,'10,'10,'057914,MESQUITE ISD,INDEPENDENT,'4830390,3819 TOWNE CROSSING BLVD,MESQUITE,75150,38378,'057914111,552
'057,DALLAS COUNTY,'10,'10,'10,'057914,MESQUITE ISD,INDEPENDENT,'4830390,3819 TOWNE CROSSING BLVD,MESQUITE,75150,38378,'057914112,686
'057,DALLAS COUNTY,'10,'10,'10,'057914,MESQUITE ISD,INDEPENDENT,'4830390,3819 TOWNE CROSSING BLVD,MESQUITE,75150,38378,'057914113,601
'057,DALLAS COUNTY,'10,'10,'10,'057914,MESQUITE ISD,INDEPENDENT,'4830390,3819 TOWNE CROSSING BLVD,MESQUITE,75150,38378,'057914114,616
'057,DALLAS COUNTY,'10,'10,'10,'057914,MESQUITE ISD,INDEPENDENT,'4830390,3819 TOWNE CROSSING BLVD,MESQUITE,75150,38378,'057914115,269
'057,DALLAS COUNTY,'10,'10,'10,'057914,MESQUITE ISD,INDEPENDENT,'4830390,3819 TOWNE CROSSING BLVD,MESQUITE,75150,38378,'057914116,462
'057,DALLAS COUNTY,'10,'10,'10,'057914,MESQUITE ISD,INDEPENDENT,'4830390,3819 TOWNE CROSSING BLVD,MESQUITE,75150,38378,'057914117,386
'057,DALLAS COUNTY,'10,'10,'10,'057914,MESQUITE ISD,INDEPENDENT,'4830390,3819 TOWNE CROSSING BLVD,MESQUITE,75150,38378,'057914118,407
'057,DALLAS COUNTY,'10,'10,'10,'057914,MESQUITE ISD,INDEPENDENT,'4830390,3819 TOWNE CROSSING BLVD,MESQUITE,75150,38378,'057914119,394
'057,DALLAS COUNTY,'10,'10,'10,'057914,MESQUITE ISD,INDEPENDENT,'4830390,3819 TOWNE CROSSING BLVD,MESQUITE,75150,38378,'057914120,325
'057,DALLAS COUNTY,'10,'10,'10,'057914,MESQUITE ISD,INDEPENDENT,'4830390,3819 TOWNE CROSSING BLVD,MESQUITE,75150,38378,'057914121,525
'057,DALLAS COUNTY,'10,'10,'10,'057914,MESQUITE ISD,INDEPENDENT,'4830390,3819 TOWNE CROSSING BLVD,MESQUITE,75150,38378,'057914122,214
'057,DALLAS COUNTY,'10,'10,'10,'057914,MESQUITE ISD,INDEPENDENT,'4830390,3819 TOWNE CROSSING BLVD,MESQUITE,75150,38378,'057914123,403
'057,DALLAS COUNTY,'10,'10,'10,'057914,MESQUITE ISD,INDEPENDENT,'4830390,3819 TOWNE CROSSING BLVD,MESQUITE,75150,38378,'057914124,579
'057,DALLAS COUNTY,'10,'10,'10,'057914,MESQUITE ISD,INDEPENDENT,'4830390,3819 TOWNE CROSSING BLVD,MESQUITE,75150,38378,'057914125,328
'057,DALLAS COUNTY,'10,'10,'10,'057914,MESQUITE ISD,INDEPENDENT,'4830390,3819 TOWNE CROSSING BLVD,MESQUITE,75150,38378,'057914126,325
'057,DALLAS COUNTY,'10,'10,'10,'057914,MESQUITE ISD,INDEPENDENT,'4830390,3819 TOWNE CROSSING BLVD,MESQUITE,75150,38378,'057914127,614
'057,DALLAS COUNTY,'10,'10,'10,'057914,MESQUITE ISD,INDEPENDENT,'4830390,3819 TOWNE CROSSING BLVD,MESQUITE,75150,38378,'057914128,415
'057,DALLAS COUNTY,'10,'10,'10,'057914,MESQUITE ISD,INDEPENDENT,'4830390,3819 TOWNE CROSSING BLVD,MESQUITE,75150,38378,'057914129,557
'057,DALLAS COUNTY,'10,'10,'10,'057914,MESQUITE ISD,INDEPENDENT,'4830390,3819 TOWNE CROSSING BLVD,MESQUITE,75150,38378,'057914130,630
'057,DALLAS COUNTY,'10,'10,'10,'057914,MESQUITE ISD,INDEPENDENT,'4830390,3819 TOWNE CROSSING BLVD,MESQUITE,75150,38378,'057914131,676
'057,DALLAS COUNTY,'10,'10,'10,'057914,MESQUITE ISD,INDEPENDENT,'4830390,3819 TOWNE CROSSING BLVD,MESQUITE,75150,38378,'057914132,844
'057,DALLAS COUNTY,'10,'10,'10,'057914,MESQUITE ISD,INDEPENDENT,'4830390,3819 TOWNE CROSSING BLVD,MESQUITE,75150,38378,'057914133,850
'057,DALLAS COUNTY,'10,'10,'10,'057914,MESQUITE ISD,INDEPENDENT,'4830390,3819 TOWNE CROSSING BLVD,MESQUITE,75150,38378,'057914134,0
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916002,2831
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916003,2790
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916004,2432
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916005,2394
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916006,-1
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916008,-1
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916042,831
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916044,745
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916045,624
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916047,761
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916048,702
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916049,641
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916050,646
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916051,657
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916101,556
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916102,287
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916103,547
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916104,382
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916105,625
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916106,476
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916107,725
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916108,501
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916109,334
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916110,410
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916111,433
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916112,520
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916113,406
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916114,632
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916115,489
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916116,590
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916117,1020
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916118,416
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916119,346
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916120,557
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916121,568
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916122,672
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916123,292
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916124,313
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916125,471
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916126,709
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916127,363
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916128,810
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916129,392
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916130,654
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916131,415
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916132,512
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916133,372
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916134,532
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916135,504
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916137,723
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916142,586
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916143,616
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916144,575
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916145,625
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916146,544
'057,DALLAS COUNTY,'10,'10,'10,'057916,RICHARDSON ISD,INDEPENDENT,'4837020,400 S GREENVILLE AVE,RICHARDSON,75081-4198,37633,'057916147,0
'057,DALLAS COUNTY,'10,'10,'10,'057919,SUNNYVALE ISD,INDEPENDENT,'4841880,417 E TRIPP RD,SUNNYVALE,75182-9544,2111,'057919001,640
'057,DALLAS COUNTY,'10,'10,'10,'057919,SUNNYVALE ISD,INDEPENDENT,'4841880,417 E TRIPP RD,SUNNYVALE,75182-9544,2111,'057919002,0
'057,DALLAS COUNTY,'10,'10,'10,'057919,SUNNYVALE ISD,INDEPENDENT,'4841880,417 E TRIPP RD,SUNNYVALE,75182-9544,2111,'057919041,512
'057,DALLAS COUNTY,'10,'10,'10,'057919,SUNNYVALE ISD,INDEPENDENT,'4841880,417 E TRIPP RD,SUNNYVALE,75182-9544,2111,'057919101,489
'057,DALLAS COUNTY,'10,'10,'10,'057919,SUNNYVALE ISD,INDEPENDENT,'4841880,417 E TRIPP RD,SUNNYVALE,75182-9544,2111,'057919201,470
'057,DALLAS COUNTY,'10,'10,'10,'057922,COPPELL ISD,INDEPENDENT,'4815210,200 S DENTON TAP RD,COPPELL,75019-3205,13131,'057922001,3839
'057,DALLAS COUNTY,'10,'10,'10,'057922,COPPELL ISD,INDEPENDENT,'4815210,200 S DENTON TAP RD,COPPELL,75019-3205,13131,'057922002,0
'057,DALLAS COUNTY,'10,'10,'10,'057922,COPPELL ISD,INDEPENDENT,'4815210,200 S DENTON TAP RD,COPPELL,75019-3205,13131,'057922003,381
'057,DALLAS COUNTY,'10,'10,'10,'057922,COPPELL ISD,INDEPENDENT,'4815210,200 S DENTON TAP RD,COPPELL,75019-3205,13131,'057922007,0
'057,DALLAS COUNTY,'10,'10,'10,'057922,COPPELL ISD,INDEPENDENT,'4815210,200 S DENTON TAP RD,COPPELL,75019-3205,13131,'057922042,1081
'057,DALLAS COUNTY,'10,'10,'10,'057922,COPPELL ISD,INDEPENDENT,'4815210,200 S DENTON TAP RD,COPPELL,75019-3205,13131,'057922043,1097
'057,DALLAS COUNTY,'10,'10,'10,'057922,COPPELL ISD,INDEPENDENT,'4815210,200 S DENTON TAP RD,COPPELL,75019-3205,13131,'057922044,991
'057,DALLAS COUNTY,'10,'10,'10,'057922,COPPELL ISD,INDEPENDENT,'4815210,200 S DENTON TAP RD,COPPELL,75019-3205,13131,'057922101,329
'057,DALLAS COUNTY,'10,'10,'10,'057922,COPPELL ISD,INDEPENDENT,'4815210,200 S DENTON TAP RD,COPPELL,75019-3205,13131,'057922103,464
'057,DALLAS COUNTY,'10,'10,'10,'057922,COPPELL ISD,INDEPENDENT,'4815210,200 S DENTON TAP RD,COPPELL,75019-3205,13131,'057922105,500
'057,DALLAS COUNTY,'10,'10,'10,'057922,COPPELL ISD,INDEPENDENT,'4815210,200 S DENTON TAP RD,COPPELL,75019-3205,13131,'057922106,482
'057,DALLAS COUNTY,'10,'10,'10,'057922,COPPELL ISD,INDEPENDENT,'4815210,200 S DENTON TAP RD,COPPELL,75019-3205,13131,'057922107,509
'057,DALLAS COUNTY,'10,'10,'10,'057922,COPPELL ISD,INDEPENDENT,'4815210,200 S DENTON TAP RD,COPPELL,75019-3205,13131,'057922108,452
'057,DALLAS COUNTY,'10,'10,'10,'057922,COPPELL ISD,INDEPENDENT,'4815210,200 S DENTON TAP RD,COPPELL,75019-3205,13131,'057922109,433
'057,DALLAS COUNTY,'10,'10,'10,'057922,COPPELL ISD,INDEPENDENT,'4815210,200 S DENTON TAP RD,COPPELL,75019-3205,13131,'057922110,485
'057,DALLAS COUNTY,'10,'10,'10,'057922,COPPELL ISD,INDEPENDENT,'4815210,200 S DENTON TAP RD,COPPELL,75019-3205,13131,'057922111,558
'057,DALLAS COUNTY,'10,'10,'10,'057922,COPPELL ISD,INDEPENDENT,'4815210,200 S DENTON TAP RD,COPPELL,75019-3205,13131,'057922112,712
'057,DALLAS COUNTY,'10,'10,'10,'057922,COPPELL ISD,INDEPENDENT,'4815210,200 S DENTON TAP RD,COPPELL,75019-3205,13131,'057922113,818
'058,DAWSON COUNTY,'17,'17,'17,'058902,DAWSON ISD,INDEPENDENT,'4816350,P O BOX 180,WELCH,79377-0180,149,'058902001,149
'058,DAWSON COUNTY,'17,'17,'17,'058905,KLONDIKE ISD,INDEPENDENT,'4825790,2911 COUNTY RD H,LAMESA,79331-4967,260,'058905001,260
'058,DAWSON COUNTY,'17,'17,'17,'058906,LAMESA ISD,INDEPENDENT,'4826610,P O BOX 261,LAMESA,79331-0261,1610,'058906001,1610
'058,DAWSON COUNTY,'17,'17,'17,'058909,SANDS CISD,INDEPENDENT,'4839120,P O BOX 218,ACKERLY,79713-0218,249,'058909001,249
'059,DEAF SMITH COUNTY,'16,'16,'16,'059901,HEREFORD ISD,INDEPENDENT,'4823010,601 N 25 MILE AVE,HEREFORD,79045-4406,3967,'059901001,1154
'059,DEAF SMITH COUNTY,'16,'16,'16,'059901,HEREFORD ISD,INDEPENDENT,'4823010,601 N 25 MILE AVE,HEREFORD,79045-4406,3967,'059901042,580
'059,DEAF SMITH COUNTY,'16,'16,'16,'059901,HEREFORD ISD,INDEPENDENT,'4823010,601 N 25 MILE AVE,HEREFORD,79045-4406,3967,'059901043,333
'059,DEAF SMITH COUNTY,'16,'16,'16,'059901,HEREFORD ISD,INDEPENDENT,'4823010,601 N 25 MILE AVE,HEREFORD,79045-4406,3967,'059901101,401
'059,DEAF SMITH COUNTY,'16,'16,'16,'059901,HEREFORD ISD,INDEPENDENT,'4823010,601 N 25 MILE AVE,HEREFORD,79045-4406,3967,'059901102,404
'059,DEAF SMITH COUNTY,'16,'16,'16,'059901,HEREFORD ISD,INDEPENDENT,'4823010,601 N 25 MILE AVE,HEREFORD,79045-4406,3967,'059901103,378
'059,DEAF SMITH COUNTY,'16,'16,'16,'059901,HEREFORD ISD,INDEPENDENT,'4823010,601 N 25 MILE AVE,HEREFORD,79045-4406,3967,'059901104,457
'059,DEAF SMITH COUNTY,'16,'16,'16,'059901,HEREFORD ISD,INDEPENDENT,'4823010,601 N 25 MILE AVE,HEREFORD,79045-4406,3967,'059901107,260
'059,DEAF SMITH COUNTY,'16,'16,'16,'059902,WALCOTT ISD,INDEPENDENT,'4844370,4275 HWY 214,HEREFORD,79045-4153,152,'059902101,152
'060,DELTA COUNTY,'08,'08,'08,'060902,COOPER ISD,INDEPENDENT,'4815150,P O BOX 478,COOPER,75432,849,'060902001,235
'060,DELTA COUNTY,'08,'08,'08,'060902,COOPER ISD,INDEPENDENT,'4815150,P O BOX 478,COOPER,75432,849,'060902041,174
'060,DELTA COUNTY,'08,'08,'08,'060902,COOPER ISD,INDEPENDENT,'4815150,P O BOX 478,COOPER,75432,849,'060902101,440
'060,DELTA COUNTY,'08,'08,'08,'060914,FANNINDEL ISD,INDEPENDENT,'4819050,601 W MAIN ST,LADONIA,75449-1517,148,'060914001,75
'060,DELTA COUNTY,'08,'08,'08,'060914,FANNINDEL ISD,INDEPENDENT,'4819050,601 W MAIN ST,LADONIA,75449-1517,148,'060914102,73
'061,DENTON COUNTY,'11,'11,'11,'061501,UNIVERSITY OF NORTH TEXAS,INDEPENDENT,',1155 UNION CIR #305309,DENTON,76203,0,'061501001,0
'061,DENTON COUNTY,'11,'11,'11,'061802,NORTH TEXAS COLLEGIATE ACADEMY,CHARTER,'4800187,4601 N 1-35,DENTON,76207,695,'061802003,270
'061,DENTON COUNTY,'11,'11,'11,'061802,NORTH TEXAS COLLEGIATE ACADEMY,CHARTER,'4800187,4601 N 1-35,DENTON,76207,695,'061802004,209
'061,DENTON COUNTY,'11,'11,'11,'061802,NORTH TEXAS COLLEGIATE ACADEMY,CHARTER,'4800187,4601 N 1-35,DENTON,76207,695,'061802005,216
'061,DENTON COUNTY,'10,'10,'11,'061804,LEADERSHIP PREP SCHOOL,CHARTER,'4801420,8100 TEEL PKWY,FRISCO,75034,1344,'061804001,498
'061,DENTON COUNTY,'10,'10,'11,'061804,LEADERSHIP PREP SCHOOL,CHARTER,'4801420,8100 TEEL PKWY,FRISCO,75034,1344,'061804002,846
'061,DENTON COUNTY,'11,'11,'11,'061805,TRIVIUM ACADEMY,CHARTER,'4801456,2205 E HEBRON PKWY,CARROLLTON,75010,553,'061805001,553
'061,DENTON COUNTY,'11,'11,'11,'061901,DENTON ISD,INDEPENDENT,'4816740,1307 N LOCUST ST,DENTON,76201,31951,'061901002,2210
'061,DENTON COUNTY,'11,'11,'11,'061901,DENTON ISD,INDEPENDENT,'4816740,1307 N LOCUST ST,DENTON,76201,31951,'061901003,1916
'061,DENTON COUNTY,'11,'11,'11,'061901,DENTON ISD,INDEPENDENT,'4816740,1307 N LOCUST ST,DENTON,76201,31951,'061901005,85
'061,DENTON COUNTY,'11,'11,'11,'061901,DENTON ISD,INDEPENDENT,'4816740,1307 N LOCUST ST,DENTON,76201,31951,'061901006,6
'061,DENTON COUNTY,'11,'11,'11,'061901,DENTON ISD,INDEPENDENT,'4816740,1307 N LOCUST ST,DENTON,76201,31951,'061901007,2614
'061,DENTON COUNTY,'11,'11,'11,'061901,DENTON ISD,INDEPENDENT,'4816740,1307 N LOCUST ST,DENTON,76201,31951,'061901008,2696
'061,DENTON COUNTY,'11,'11,'11,'061901,DENTON ISD,INDEPENDENT,'4816740,1307 N LOCUST ST,DENTON,76201,31951,'061901009,198
'061,DENTON COUNTY,'11,'11,'11,'061901,DENTON ISD,INDEPENDENT,'4816740,1307 N LOCUST ST,DENTON,76201,31951,'061901039,56
'061,DENTON COUNTY,'11,'11,'11,'061901,DENTON ISD,INDEPENDENT,'4816740,1307 N LOCUST ST,DENTON,76201,31951,'061901040,50
'061,DENTON COUNTY,'11,'11,'11,'061901,DENTON ISD,INDEPENDENT,'4816740,1307 N LOCUST ST,DENTON,76201,31951,'061901041,815
'061,DENTON COUNTY,'11,'11,'11,'061901,DENTON ISD,INDEPENDENT,'4816740,1307 N LOCUST ST,DENTON,76201,31951,'061901044,953
'061,DENTON COUNTY,'11,'11,'11,'061901,DENTON ISD,INDEPENDENT,'4816740,1307 N LOCUST ST,DENTON,76201,31951,'061901045,695
'061,DENTON COUNTY,'11,'11,'11,'061901,DENTON ISD,INDEPENDENT,'4816740,1307 N LOCUST ST,DENTON,76201,31951,'061901046,802
'061,DENTON COUNTY,'11,'11,'11,'061901,DENTON ISD,INDEPENDENT,'4816740,1307 N LOCUST ST,DENTON,76201,31951,'061901047,1058
'061,DENTON COUNTY,'11,'11,'11,'061901,DENTON ISD,INDEPENDENT,'4816740,1307 N LOCUST ST,DENTON,76201,31951,'061901048,868
'061,DENTON COUNTY,'11,'11,'11,'061901,DENTON ISD,INDEPENDENT,'4816740,1307 N LOCUST ST,DENTON,76201,31951,'061901049,833
'061,DENTON COUNTY,'11,'11,'11,'061901,DENTON ISD,INDEPENDENT,'4816740,1307 N LOCUST ST,DENTON,76201,31951,'061901050,981
'061,DENTON COUNTY,'11,'11,'11,'061901,DENTON ISD,INDEPENDENT,'4816740,1307 N LOCUST ST,DENTON,76201,31951,'061901051,0
'061,DENTON COUNTY,'11,'11,'11,'061901,DENTON ISD,INDEPENDENT,'4816740,1307 N LOCUST ST,DENTON,76201,31951,'061901102,529
'061,DENTON COUNTY,'11,'11,'11,'061901,DENTON ISD,INDEPENDENT,'4816740,1307 N LOCUST ST,DENTON,76201,31951,'061901104,598
'061,DENTON COUNTY,'11,'11,'11,'061901,DENTON ISD,INDEPENDENT,'4816740,1307 N LOCUST ST,DENTON,76201,31951,'061901105,651
'061,DENTON COUNTY,'11,'11,'11,'061901,DENTON ISD,INDEPENDENT,'4816740,1307 N LOCUST ST,DENTON,76201,31951,'061901106,536
'061,DENTON COUNTY,'11,'11,'11,'061901,DENTON ISD,INDEPENDENT,'4816740,1307 N LOCUST ST,DENTON,76201,31951,'061901107,632
'061,DENTON COUNTY,'11,'11,'11,'061901,DENTON ISD,INDEPENDENT,'4816740,1307 N LOCUST ST,DENTON,76201,31951,'061901108,620
'061,DENTON COUNTY,'11,'11,'11,'061901,DENTON ISD,INDEPENDENT,'4816740,1307 N LOCUST ST,DENTON,76201,31951,'061901109,644
